Run_mgm,Sample_name,Run,colSums.data.genomesize.,NGs,AGS,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(material),geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,Sample_name2,Sequencing_method,soil_environmental_package,SRA Study,Submitter_Id,latitude,longitude,biome,delta15N,N_conc_g_kg,P_conc_mg_kg,pH,gene_count,gc_count,gc_percent,shannon,simp,richness,pielous,AGS_mgm,Total_base_mgm,NGs_mgm,AGS2_mgm,Run2_mgm,GC_percent_mgm,shannon_ko,simp_ko,richness_ko,pielous_ko,Biome,Biome2
ERR1877676,S187,ERR1873305,150093.6287,30000,5.003120956,AMPLICON,491,148455323,PRJEB19856,SAMEA103892548,95655147,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","s3,ena,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_deciduous_forests,soil,China,Asia,China,39.95724,115.42452,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S187,Illumina,soil,ERP021922,S187,39.96,115.42,forest: temperate broadleaf forest biome,0.664365275,7.990143002,23.50036724,7.3140001,4694.6279,95877362632,0.638783694,7.23937197,0.997788036,4622,0.857889547,2130601.574,8155808,3.827936719,2.130601574,ERR1877676,65.26,7.72966418,0.999220438,5472,0.898025497,Temperate_deciduous_forests,Forest
ERR1877677,S052,ERR1873260,157800.6137,30000,5.260020456,AMPLICON,488,86401376,PRJEB19856,SAMEA103892598,57692999,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"sra,run.zq,fastq","gs,ena,s3,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Mediterrean,soil,Iran,Asia,Iran,30.136581,51.543479,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:21Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S052,Illumina,soil,ERP021922,S052,30.14,51.54,woodland: woodland: temperate woodland biome,3.078666798,3.704607538,26.03670283,7.8800001,4828.009167,1.0033E+11,0.635803697,7.082678605,0.998096582,3603,0.864846387,2000609.638,6849434,3.423673399,2.000609638,ERR1877677,67.28,7.614585268,0.999180348,4596,0.902957188,Mediterrean,Mediterrean
ERR1877679,G2677,ERR1873213,166967.0579,30000,5.565568596,AMPLICON,489,52876548,PRJEB19856,SAMEA103892462,34434910,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","ena,s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Tropical_montane_forests,soil,Papua New Guinea,Oceania,Papua New Guinea,-6.01732,145.41601,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:17Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G2677,Illumina,soil,ERP021922,G2677,-6.02,145.42,forest: tropical broadleaf forest biome,-1.381682143,17.33205768,8.26228177,5.349,5020.646533,1.04767E+11,0.627468487,7.529941586,0.998240789,5076,0.882524087,3957555.766,53030864,13.39990316,3.957555766,ERR1877679,62.16,7.791413145,0.999190086,6701,0.884381667,Tropical_montane_forests,Forest
ERR1877687,G2660,ERR1873209,156429.93,30000,5.214331,AMPLICON,489,111271461,PRJEB19856,SAMEA103892458,72062965,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,sra,fastq","ena,gs,ncbi,s3","ena,s3.us-east-1,gs.US,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Papua New Guinea,Oceania,Papua New Guinea,-9.42183,147.36922,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:17Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G2660,Illumina,soil,ERP021922,G2660,-9.42,147.37,forest: tropical broadleaf forest biome,3.421570608,4.033681256,50.44824776,6.29,4860.3274,1.00548E+11,0.642769258,6.942259448,0.996239309,4013,0.836689545,2889845.989,74660143,25.83533631,2.889845989,ERR1877687,66.69,7.832735266,0.99926801,6846,0.886916875,Moist_tropical_forests,Forest
ERR1877692,S162,ERR1873296,160970.081,30000,5.365669366,AMPLICON,491,82246428,PRJEB19856,SAMEA103892538,51386289,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","gs.US,ena,s3.us-east-1,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Arctic_tundra,soil,USA,North America,USA,68.6232,-149.5992,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S162,Illumina,soil,ERP021922,S162,68.62,-149.6,tundra biome,0.581424689,6.497658544,7.702469261,5.98,4931.937933,1.00729E+11,0.625762455,6.844448333,0.995348876,3814,0.829988879,2430249.081,7598437,3.126608322,2.430249081,ERR1877692,63.76,7.68130733,0.999127537,5269,0.896344174,Arctic_tundra,Arctic_tundra
ERR1877693,S072,ERR1873267,150191.1593,30000,5.006371978,AMPLICON,492,235192728,PRJEB19856,SAMEA103892608,158223833,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","s3,gs,ena,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_deciduous_forests,soil,USA,North America,USA,29.73517,-82.44186,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:21Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S072,Illumina,soil,ERP021922,S072,29.74,-82.44,forest: subtropical broadleaf forest biome,0.721442965,0.829338792,62.65842036,5.2859998,4662.271967,94617936221,0.629983393,6.970267818,0.995618471,4437,0.83001772,4170055.259,236687978,56.75895481,4.170055259,ERR1877693,61.87,7.844449785,0.999200754,7400,0.880485198,Temperate_deciduous_forests,Forest
ERR1877695,S203,ERR1873313,182397.6713,30000,6.079922377,AMPLICON,491,26262608,PRJEB19856,SAMEA103892557,17709796,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,sra,fastq","ncbi,ena,s3,gs","gs.US,ena,s3.us-east-1,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Malaysia,Asia,Malaysia,5.40594,116.10272,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:20Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S203,Illumina,soil,ERP021922,S203,5.41,116.1,forest: tropical broadleaf forest biome,1.97581031,7.195047284,22.64466263,5.3600001,5577.633,1.19457E+11,0.654924005,6.160943226,0.993725062,2110,0.804884568,3490039.395,10680546,3.060293822,3.490039395,ERR1877695,64.19,7.64089019,0.999106634,5265,0.891706856,Moist_tropical_forests,Forest
ERR1877696,S137,ERR1873287,169269.0072,30000,5.64230024,AMPLICON,492,55587636,PRJEB19856,SAMEA103892528,35659170,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"sra,fastq,run.zq","gs,s3,ncbi,ena","ncbi.public,gs.US,ena,s3.us-east-1",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Boreal_forests,soil,Russia,Europe,Russia,57.09869,53.15841,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S137,Illumina,soil,ERP021922,S137,57.1,53.16,forest: temperate coniferous forest biome,1.409072642,2.344416412,48.35656864,5.3899999,5166.024233,1.0869E+11,0.642112499,7.006792756,0.997544733,3639,0.854542759,3964540.879,140483342,35.43495862,3.964540879,ERR1877696,63.46,7.867186282,0.99929158,7118,0.886905009,Boreal_forests,Forest
ERR1877697,G3318,ERR1873245,138799.4812,30000,4.626649373,AMPLICON,489,110244561,PRJEB19856,SAMEA103892502,74915195,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_deciduous_forests,soil,Estonia,Europe,Estonia,58.28253,22.46296,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:18Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G3318,Illumina,soil,ERP021922,G3318,58.28,22.46,grassland: flooded grassland biome,3.74640339,9.305168737,17.57553656,6.5929999,4246.459433,86928854393,0.626290917,7.367725515,0.998134398,4180,0.883625178,2895889.413,12047802,4.16031149,2.895889413,ERR1877697,65.37,7.622413053,0.999094397,4629,0.903119221,Temperate_deciduous_forests,Forest
ERR1877698,G2640,ERR1873198,171766.3946,30000,5.725546486,AMPLICON,490,67187330,PRJEB19856,SAMEA103892447,44722352,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,run.zq,sra","ncbi,gs,s3,ena","ncbi.public,ena,gs.US,s3.us-east-1",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Mediterrean,soil,Australia,Oceania,Australia,-34.36113,116.291,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:16Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G2640,Illumina,soil,ERP021922,G2640,-34.36,116.29,forest: subtropical broadleaf forest biome,1.01054896,4.827298548,1.483183622,5.6989999,5187.837467,1.08991E+11,0.63452913,7.182628925,0.9973626,4199,0.860957912,2668487.054,8847038,3.315376025,2.668487054,ERR1877698,64.78,7.631382872,0.99916261,4902,0.89808461,Mediterrean,Mediterrean
ERR1877699,S261,ERR1873331,163657.9911,30000,5.455266371,AMPLICON,492,96260784,PRJEB19856,SAMEA103892581,62645351,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","ena,ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Southern_temperate_forests,soil,Argentina,South America,Argentina,-41.260033,-71.286967,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:20Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S261,Illumina,soil,ERP021922,S261,-41.26,-71.29,forest: temperate broadleaf forest biome,0.892840242,9.046841622,1.199256966,6.5279999,5064.5701,1.0491E+11,0.641033951,6.836086678,0.995288471,3662,0.833083437,3300775.47,22389415,6.783077251,3.30077547,ERR1877699,64.95,7.749966747,0.999208564,5724,0.895698999,Southern_temperate_forests,Forest
ERR1877702,G2761a,ERR1873229,177700.0406,30000,5.923334686,AMPLICON,491,22013985,PRJEB19856,SAMEA103892432,15119354,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","ena,s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Malaysia,Asia,Malaysia,3.216666667,101.83975,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:16Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G2761a,Illumina,soil,ERP021922,G2761a,3.22,101.84,forest: tropical broadleaf forest biome,4.223117177,1.885047713,8.075913588,5.3660002,5392.917533,1.12151E+11,0.631126407,6.489393844,0.99558152,2652,0.823206489,6162924.253,58257541,9.45290557,6.162924253,ERR1877702,60.19,7.718914223,0.999035903,6415,0.880511871,Moist_tropical_forests,Forest
ERR1877704,AV112,ERR1873189,166633.2408,30000,5.55444136,AMPLICON,489,26765415,PRJEB19856,SAMEA103892437,18831188,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,run.zq,sra","s3,ena,ncbi,gs","ncbi.public,ena,s3.us-east-1,gs.US",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Colombia,South America,Colombia,-0.395,-72.08,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:16Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,AV112,Illumina,soil,ERP021922,AV112,-0.64,-72.07,forest: tropical broadleaf forest biome,2.234944912,19.92858746,54.98832843,4.9169998,5035.913267,1.06181E+11,0.637216096,6.132501178,0.99436398,1789,0.818822774,2716892.209,23175215,8.53004581,2.716892209,ERR1877704,63.93,7.809730335,0.999286583,5935,0.898845647,Moist_tropical_forests,Forest
ERR1877705,S094,ERR1873272,171334.8347,30000,5.711161157,AMPLICON,492,101710176,PRJEB19856,SAMEA103892616,66125924,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,sra,fastq","s3,gs,ncbi,ena","ncbi.public,ena,s3.us-east-1,gs.US",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Southern_temperate_forests,soil,Argentina,South America,Argentina,-54.47952,-67.44773,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:21Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S094,Illumina,soil,ERP021922,S094,-54.48,-67.45,forest: temperate broadleaf forest biome,1.649370189,6.082433458,51.16515722,4.7319999,5293.8083,1.10444E+11,0.644606622,6.05790667,0.991733691,2374,0.779419485,3788441.681,26927658,7.10784546,3.788441681,ERR1877705,64.4,7.801535582,0.999244125,5820,0.899929127,Southern_temperate_forests,Forest
ERR1877707,AV114,ERR1873190,171149.7024,30000,5.704990082,AMPLICON,490,50948240,PRJEB19856,SAMEA103892438,33969434,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","s3,gs,ena,ncbi","ena,s3.us-east-1,gs.US,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Colombia,South America,Colombia,-0.55,-71.36,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:16Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,AV114,Illumina,soil,ERP021922,AV114,-0.93,-71.61,forest: tropical broadleaf forest biome,3.925991574,12.35604238,22.90650407,4.9310002,5315.153667,1.12655E+11,0.658227609,5.68707737,0.989467767,1575,0.772489706,2793520.693,5670616,2.029917306,2.793520693,ERR1877707,62.32,7.700944026,0.999207338,5178,0.90046623,Moist_tropical_forests,Forest
