"","logFC","logCPM","PValue","FDR","sig"
"Folate.biosynthesis",0.356521968192191,12.6080741120114,0.39218478990208,0.54096517075606,"None"
"Biosynthesis.of.nucleotide.sugars",-0.232918687387072,13.7565564047672,0.400714941300785,0.54096517075606,"None"
"Biosynthesis.of.amino.acids",0.180158565270778,14.5073376315944,0.431974574681429,0.555545642535127,"None"
"Butanoate.metabolism",0.298512994020755,13.2726968737484,0.434962036017386,0.555545642535127,"None"
"Diabetic.cardiomyopathy",-0.543488067398801,11.8597434710146,0.442378937574268,0.555545642535127,"None"
"Fatty.acid.degradation",-0.389495423859251,12.1096730750082,0.607898897507508,0.731362022237394,"None"
"Pentose.phosphate.pathway",-0.225690021696737,12.8860192799726,0.609468351864495,0.731362022237394,"None"
"Purine.metabolism",0.134782662813488,13.8641970851538,0.651951949672751,0.765334897441925,"None"
"DAmino.acid.metabolism",-0.319576701940364,12.0728336148397,0.728549559863427,0.837056941119682,"None"
"Arginine.biosynthesis",-0.196844590341342,12.3573466017258,0.755473068401951,0.849907201952195,"None"
"Biosynthesis.of.secondary.metabolites",-0.0277142504347135,16.6371877458942,0.78977308928392,0.870362180027177,"None"
"Biosynthesis.of.cofactors",0.0304791973782219,14.9644780129538,0.903255019136759,0.958384977939286,"None"
"Cysteine.and.methionine.metabolism",-0.0925609577916521,13.1527779527294,0.907731161619448,0.958384977939286,"None"
"Oxidative.phosphorylation",0.056040645655628,13.6668373492624,0.922889238015609,0.958384977939286,"None"
"Nucleotide.metabolism",0.0553504916099568,13.3151823037319,0.999999999999996,1,"None"
"Fatty.acid.metabolism",0.0362026461318815,12.4562664301741,1,1,"None"
